"Applicant","Edu_Parent1","Edu_Parent2","Gender","White","Asian","HSGPA","SAT/ACT","College","College_GPA"
1126,7,7,"M",1,0,3.54,1230,"Business & Economics",3.541
1134,6,7,"M",1,0,3.58,1190,"Business & Economics",2.507
1139,6,6,"M",1,0,3.76,1190,"Arts & Letters",2.547
1151,7,7,"F",1,0,4.14,1260,"Arts & Letters",3.486
1163,6,4,"F",1,0,4,1100,"Business & Economics",3.099
1174,5,4,"F",1,0,4.17,1520,"Math & Science",3.929
1180,6,6,"M",1,0,4.25,1420,"Arts & Letters",3.408
1186,6,6,"M",0,1,3.59,1000,"Arts & Letters",2.287
1193,7,7,"F",1,0,3.81,1290,"Arts & Letters",3.29
1201,7,6,"F",1,0,4.29,1280,"Math & Science",3.791
1208,6,6,"F",0,0,4.14,1320,"Business & Economics",3.284
1217,6,6,"M",1,0,3.91,1380,"Arts & Letters",3.221
1225,7,7,"M",1,0,4.15,1330,"Math & Science",3.099
1226,6,7,"F",1,0,4.1,1210,"Math & Science",2.96
1229,6,6,"F",1,0,4,1190,"Arts & Letters",3.007
1232,4,4,"M",0,1,3.59,1160,"Arts & Letters",2.703
1238,4,4,"F",1,0,3.95,1260,"Arts & Letters",1.742
1263,6,6,"F",1,0,3.95,1430,"Math & Science",3.769
1294,4,4,"F",0,1,3.7,890,"Arts & Letters",2.878
1300,7,7,"F",1,0,3.58,1250,"Arts & Letters",3.299
1322,6,6,"F",1,0,3.79,1200,"Arts & Letters",3.587
1339,1,2,"M",0,0,3.3,1140,"Business & Economics",2.535
1360,5,5,"M",1,0,3.74,1090,"Math & Science",2.446
1372,6,6,"F",0,1,3.74,1140,"Math & Science",2.283
1381,3,3,"F",1,0,3.52,1080,"Arts & Letters",2.777
1382,7,3,"F",0,1,3.8,1120,"Math & Science",1.35
1383,6,4,"M",0,0,3.86,1170,"Arts & Letters",2.909
1384,4,4,"F",1,0,3.79,1060,"Business & Economics",2.03
1394,7,6,"F",1,0,3.64,1220,"Business & Economics",3.298
1397,7,7,"M",1,0,4.04,1550,"Math & Science",2.987
1399,6,6,"M",1,0,3.5,1280,"Business & Economics",3.048
1400,6,4,"M",1,0,3.64,1310,"Business & Economics",3.153
1403,4,7,"F",1,0,4.24,1460,"Arts & Letters",3.174
1409,6,6,"M",0,0,3.78,1420,"Business & Economics",2.889
1413,4,6,"F",1,0,3.3,1040,"Business & Economics",2.888
1418,6,6,"F",1,0,3.71,1150,"Arts & Letters",3.258
1427,7,6,"F",1,0,3.82,1360,"Math & Science",3.338
1429,6,6,"M",1,0,3.88,1290,"Math & Science",3.57
1436,6,4,"F",1,0,4.17,1300,"Arts & Letters",3.465
1438,6,6,"M",1,0,3.08,1190,"Arts & Letters",3.51
